序号,IP地址,最多玩职业,篮球手游段位,延迟感受,接受匹配延长,爆发提示明显度,爆发区域明显度,篮板碎裂动画,入场庆祝动作,战斗内观众,动态篮网效果,职业平衡性,爆发技体验,C/PF定位体验,贴身上篮规则,技能绑定设计,天赋树设计,身后盖帽规则,盖帽硬直规则,花式技能体验,晃倒三种表现,总分
1.0,118.112.177.28(四川-成都),得分后卫（SG）,黄金~钻石,感觉没法玩了,我不在意,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,2.0,5.0,54.0
2.0,14.28.129.189(广东-深圳),得分后卫（SG）,王者,感觉没法玩了,可以接受,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,58.0
3.0,117.132.194.27(浙江-杭州),中锋（C）,大师~传奇,感觉没法玩了,可以接受,3.0,1.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,61.0
4.0,223.104.16.73(吉林-长春),大前锋（PF）,黄金~钻石,感觉没法玩了,可以接受,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,65.0
5.0,125.47.66.63(河南-郑州),得分后卫（SG）,黄金~钻石,感觉没法玩了,我不在意,4.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,54.0
6.0,49.70.186.155(江苏-镇江),中锋（C）,王者,感觉没法玩了,不能接受,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,61.0
7.0,120.14.140.162(河北-邢台),中锋（C）,黄金~钻石,感觉没法玩了,可以接受,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,56.0
8.0,124.119.147.207(新疆-伊犁),小前锋（SF）,黄金~钻石,比较难受,可以接受,1.0,3.0,4.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,57.0
9.0,123.117.127.188(北京-北京),得分后卫（SG）,黄金~钻石,感觉没法玩了,可以接受,5.0,2.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,4.0,1.0,5.0,59.0
10.0,36.98.192.29(河北-未知),中锋（C）,黄金~钻石,感觉没法玩了,不能接受,3.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,35.0
11.0,119.114.15.177(辽宁-鞍山),得分后卫（SG）,大师~传奇,感觉没法玩了,可以接受,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.0
12.0,60.222.119.29(山西-运城),控球后卫（PG）,黄金~钻石,比较难受,我不在意,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,52.0
